energy mult
1. 5.03
2. 5.27
3. 5.36
4. 5.56
5. 5.69
6. 5.76
7. 5.62
8. 5.60
9. 5.67
10. 5.72
11. 5.82
12. 5.81
13. 5.73
14. 5.73
15. 5.80
16. 5.87
17. 5.88
18. 5.96
19. 6.02
20. 6.04
21. 6.04
22. 6.05
23. 6.05
24. 6.09
25. 6.10
26. 6.12
27. 6.12
28. 6.10
29. 6.08
30. 6.10
