0	0	299
0	1	2
0	2	2
0	3	5
0	4	12
0	5	14
0	6	8
0	7	11
0	8	10
0	9	4
0	10	0
0	11	3
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
0	24	0
0	25	0
0	26	0
0	27	0
0	28	0
0	29	0
0	30	0
1	0	7
1	1	7
1	2	29
1	3	37
1	4	46
1	5	35
1	6	31
1	7	13
1	8	5
1	9	2
1	10	1
1	11	1
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
2	0	27
2	1	77
2	2	161
2	3	273
2	4	310
2	5	299
2	6	195
2	7	165
2	8	78
2	9	29
2	10	12
2	11	3
2	12	2
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	0
2	28	0
2	29	0
2	30	0
3	0	20
3	1	81
3	2	152
3	3	257
3	4	295
3	5	303
3	6	226
3	7	148
3	8	78
3	9	48
3	10	16
3	11	5
3	12	0
3	13	2
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
3	25	0
3	26	0
3	27	0
3	28	0
3	29	0
3	30	0
4	0	13
4	1	67
4	2	149
4	3	232
4	4	323
4	5	274
4	6	215
4	7	132
4	8	86
4	9	44
4	10	14
4	11	4
4	12	2
4	13	1
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	0
4	26	0
4	27	0
4	28	0
4	29	0
4	30	0
5	0	18
5	1	58
5	2	146
5	3	208
5	4	255
5	5	249
5	6	197
5	7	132
5	8	74
5	9	33
5	10	9
5	11	7
5	12	2
5	13	1
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
5	25	0
5	26	0
5	27	0
5	28	0
5	29	0
5	30	0
6	0	19
6	1	76
6	2	158
6	3	252
6	4	283
6	5	330
6	6	264
6	7	159
6	8	94
6	9	42
6	10	20
6	11	5
6	12	1
6	13	1
6	14	1
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
6	25	0
6	26	0
6	27	0
6	28	0
6	29	0
6	30	0
7	0	36
7	1	126
7	2	307
7	3	464
7	4	559
7	5	526
7	6	425
7	7	272
7	8	152
7	9	78
7	10	34
7	11	11
7	12	7
7	13	0
7	14	1
7	15	1
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
7	25	0
7	26	0
7	27	0
7	28	0
7	29	0
7	30	0
8	0	32
8	1	134
8	2	319
8	3	532
8	4	640
8	5	625
8	6	523
8	7	328
8	8	183
8	9	102
8	10	46
8	11	14
8	12	4
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
8	18	0
8	19	0
8	20	0
8	21	0
8	22	0
8	23	0
8	24	0
8	25	0
8	26	0
8	27	0
8	28	0
8	29	0
8	30	0
9	0	34
9	1	155
9	2	350
9	3	561
9	4	699
9	5	677
9	6	557
9	7	367
9	8	255
9	9	134
9	10	59
9	11	23
9	12	8
9	13	2
9	14	1
9	15	2
9	16	0
9	17	0
9	18	0
9	19	0
9	20	0
9	21	0
9	22	0
9	23	0
9	24	0
9	25	0
9	26	0
9	27	0
9	28	0
9	29	0
9	30	0
10	0	27
10	1	145
10	2	340
10	3	597
10	4	755
10	5	796
10	6	721
10	7	450
10	8	268
10	9	135
10	10	63
10	11	25
10	12	11
10	13	3
10	14	0
10	15	0
10	16	0
10	17	0
10	18	0
10	19	0
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
10	25	0
10	26	0
10	27	0
10	28	0
10	29	0
10	30	0
11	0	37
11	1	146
11	2	346
11	3	566
11	4	761
11	5	803
11	6	697
11	7	536
11	8	350
11	9	184
11	10	96
11	11	29
11	12	10
11	13	4
11	14	2
11	15	0
11	16	0
11	17	0
11	18	0
11	19	0
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
11	25	0
11	26	0
11	27	0
11	28	0
11	29	0
11	30	0
12	0	32
12	1	151
12	2	340
12	3	612
12	4	809
12	5	859
12	6	755
12	7	650
12	8	368
12	9	214
12	10	97
12	11	45
12	12	11
12	13	4
12	14	2
12	15	0
12	16	0
12	17	0
12	18	0
12	19	0
12	20	0
12	21	0
12	22	0
12	23	0
12	24	0
12	25	0
12	26	0
12	27	0
12	28	0
12	29	0
12	30	0
13	0	37
13	1	163
